Years,Month,Day,10ml,5ml
2021,12,11,0,0
2021,12,12,0,0
2021,12,13,4499250,0
2021,12,14,17277120,19845000
2021,12,15,0,0
2021,12,16,0,0
2021,12,17,0,125002.5
2021,12,18,21596400,1134000
2021,12,19,10798200,17010000
2021,12,20,0,0
2021,12,21,0,2487502.5
2021,12,22,0,2393002.5
2021,12,23,212499,0
2021,12,24,0,0
2021,12,25,0,0
2021,12,26,4319280,0
2021,12,27,0,0
2021,12,28,0,2835000
2021,12,29,0,0
2021,12,30,0,0
2021,12,31,0,0
2022,1,1,0,0
2022,1,2,0,0
2022,1,3,0,0
2022,1,4,11010699,19372500
2022,1,5,0,4775001
2022,1,6,10798200,125002.5
2022,1,7,5399100,0
2022,1,8,0,0
2022,1,9,0,0
2022,1,10,0,8505000
2022,1,11,0,40685001
2022,1,12,37106349,0
2022,1,13,2159640,0
2022,1,14,5399100,3402000
2022,1,15,0,0
2022,1,16,0,0
2022,1,17,7198800,0
2022,1,18,13677720,189000
2022,1,19,0,0
2022,1,20,0,0
2022,1,21,21596400,0
2022,1,22,0,0
2022,1,23,0,0
2022,1,24,0,9072000
2022,1,25,5399100,19845000
2022,1,26,6478920,0
2022,1,27,0,0
2022,1,28,0,3402000
2022,1,29,0,0
2022,1,30,0,0
2022,1,31,0,0
2022,2,1,0,0
2022,2,2,0,0
2022,2,3,0,0
2022,2,4,0,0
2022,2,5,0,0
2022,2,6,0,0
2022,2,7,4499250,0
2022,2,8,42499.8,25000.5
2022,2,9,0,25000.5
2022,2,10,0,0
2022,2,11,0,22680000
2022,2,12,0,0
2022,2,13,0,0
2022,2,14,0,0
2022,2,15,8638560,4725000
2022,2,16,0,25000.5
2022,2,17,0,0
2022,2,18,0,0
2022,2,19,0,0
2022,2,20,0,0
2022,2,21,0,0
2022,2,22,0,2835000
2022,2,23,0,141750
2022,2,24,0,0
2022,2,25,0,0
2022,2,26,0,0
2022,2,27,0,0
2022,2,28,0,2362500
2022,3,1,0,236250
2022,3,2,0,141750
2022,3,3,0,50001
2022,3,4,3239460,0
2022,3,5,0,8505000
2022,3,6,0,0
2022,3,7,0,0
2022,3,8,0,0
2022,3,9,0,0
2022,3,10,0,0
2022,3,11,0,3591000
2022,3,12,0,0
2022,3,13,0,0
2022,3,14,0,0
2022,3,15,42499.8,0
2022,3,16,0,0
2022,3,17,5399100,22680000
2022,3,18,0,0
2022,3,19,0,0
2022,3,20,0,0
2022,3,21,0,0
2022,3,22,0,0
2022,3,23,32394600,0
2022,3,24,8638560,4536000
2022,3,25,0,0
2022,3,26,0,0
2022,3,27,0,0
2022,3,28,0,11340000
2022,3,29,0,0
2022,3,30,0,2360000
2022,3,31,0,0
